,100s,4 Wickets in Inn,50s,Balls Faced,Balls_Average,Bat_Average,Bowl_Strike_rate,Ducks,Economy_Rate,Innings,Maidens,Matches,Not Outs,Opening Batting,Overs,Runs,Runs_Conceded,Strike Rate,Wickets,performance
724,0,0,0,8,0,1,0,0,0,1,0,1,0,0,0,1,0,12.5,0,3
725,0,0,0,62,0,12.5,0,0,0,4,0,7,2,0,0,25,0,40.32,0,14
726,0,0,1,125,85.67,27.33,88,0,5.84,3,1,5,0,0,44,82,257,65.6,3,34
727,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
728,1,0,6,1605,41.17,29.11,52.33,4,4.72,52,4,65,8,0,209.2,1281,988,79.81,24,38
729,0,0,3,537,0,27.08,0,1,7,14,0,16,1,0,1,352,7,65.55,0,34
730,3,0,8,1881,0,31.51,0,5,0,48,0,48,3,47,13,1418,0,75.39,0,44
731,0,0,0,19,0,0,0,0,0,1,0,1,1,0,0,2,0,10.53,0,0
732,0,0,0,4,0,5,0,0,0,1,0,1,0,0,0,5,0,125,0,7
733,0,0,0,154,43,12.56,59,1,4.37,12,2,13,3,0,78.4,113,344,73.38,8,57
734,1,0,0,417,0,23.82,0,1,6.38,11,0,11,0,8,8,262,51,62.83,0,26
735,0,7,0,620,29.28,15.88,31.51,4,5.58,51,25,74,18,0,577.4,524,3221,84.52,110,77
736,0,0,0,1,55.5,0,55,0,6.05,1,0,2,1,0,18.2,0,111,0,2,45
737,0,0,0,71,0,15.5,0,0,0,3,0,3,1,0,0,31,0,43.66,0,17
738,2,0,4,1512,29.38,27.12,36.63,4,4.81,48,3,49,6,15,48.5,1139,235,75.33,8,77
739,0,0,0,19,161,3,222,0,4.35,1,4,4,0,0,37,3,161,15.79,1,4
740,0,0,0,10,41.5,3,47.5,0,5.24,2,2,3,1,0,15.5,3,83,30,2,59
741,0,0,0,7,0,0,0,0,5.67,1,0,3,1,0,3,0,17,0,0,0
742,0,0,0,237,0,13.36,0,0,0,11,0,11,0,9,1,147,0,62.03,0,15
743,0,1,0,128,31.5,4.38,37.48,4,5.04,21,23,38,13,0,274.5,35,1386,27.34,44,73
744,0,0,0,45,0,6.67,0,0,0,3,0,3,0,3,1,20,0,44.44,0,8
745,0,0,0,13,44.8,7,52.8,0,5.09,1,0,5,0,0,44,7,224,53.85,5,56
746,0,0,0,0,23,0,17.67,0,7.81,1,1,1,1,0,8.5,0,69,0,3,93
747,0,2,5,966,34.59,30.76,32.84,2,6.32,42,2,49,9,2,240.5,1015,1522,105.07,44,68
748,0,0,0,5,66,5,78,0,5.08,2,2,2,1,0,13,5,66,100,1,34
749,0,7,0,246,31.73,5.64,36.63,9,5.2,46,55,120,21,0,958.3,141,4981,57.32,157,73
750,0,4,0,166,27.69,12.7,35.86,2,4.63,22,58,79,12,0,633.3,127,2935,76.51,106,84
751,0,1,0,54,46.36,15.5,52.14,1,5.33,10,10,19,8,0,121.4,31,649,57.41,14,54
752,0,0,0,16,60,4,50,0,7.2,2,1,2,0,0,16.4,8,120,50,2,40
753,0,0,0,11,49.8,6,52.8,1,5.66,3,3,5,1,0,44,12,249,109.09,5,51
754,0,0,4,1000,0,20.33,0,4,0,36,0,37,0,30,2,732,0,73.2,0,20
755,0,0,0,30,51.13,2.8,47.13,2,6.51,6,2,9,1,0,62.5,14,409,46.67,8,49
756,0,2,0,44,23.04,34,24.85,0,5.56,6,9,13,5,0,107.4,34,599,77.27,26,93
757,0,0,0,67,23.94,3.57,41.41,5,3.47,10,11,15,3,0,117.2,25,407,37.31,17,93
758,0,0,0,141,41.5,8.67,52.64,3,4.73,13,5,16,4,0,122.5,78,581,55.32,14,59
759,1,0,8,1210,0,35.48,0,4,0,39,0,41,10,4,16,1029,0,85.04,0,60
760,2,1,2,776,32.9,30.84,33.9,2,5.82,21,1,22,2,18,56.3,586,329,75.52,10,71
761,0,0,0,22,59,7,36,1,9.83,2,0,2,0,0,12,14,118,63.64,2,41
762,0,0,0,0,10.33,0,16.33,0,3.8,0,0,1,0,0,8.1,0,31,0,3,94
763,0,1,0,140,31.74,6.63,36.93,2,5.16,13,6,23,5,0,166.1,53,857,37.86,27,73
764,0,0,0,347,0,21.21,0,2,0,18,0,19,4,0,0,297,0,85.59,0,22
765,0,0,3,814,29.75,33.75,36.25,0,4.92,20,1,20,0,7,24.1,675,119,82.92,4,73
766,0,0,0,526,71.36,10.8,71.91,5,5.95,35,8,50,5,0,263.4,324,1570,61.6,22,29
767,0,0,0,0,46,0,54,0,5.11,0,0,1,0,0,9,0,46,0,1,54
768,1,0,7,1798,0,25.89,0,3,0,45,0,46,1,44,15,1139,0,63.35,0,30
769,0,0,0,58,0,6,0,1,0,2,0,2,0,0,1,12,0,20.69,0,8
770,0,0,0,19,0,3,0,0,5.33,2,0,2,0,0,3,6,16,31.58,0,5
771,0,12,0,298,24.66,8.65,32.66,9,4.53,47,123,173,24,0,1447.5,199,6559,66.78,266,91
772,0,1,0,458,43.26,19.52,50.24,2,5.17,36,6,45,13,0,351.4,449,1817,98.03,42,57
773,0,0,0,55,0,3.75,0,2,0,4,0,4,0,4,0,15,0,27.27,0,5
774,0,0,0,70,0,34,0,0,0,2,0,2,0,0,0,68,0,97.14,0,56
775,0,0,0,89,43.41,4.6,49.65,3,5.25,14,3,19,4,0,140.4,46,738,51.69,17,57
776,0,0,9,1759,0,30.37,0,2,0,45,0,49,2,21,15,1306,0,74.25,0,40
777,0,0,0,56,27,5.43,30.4,2,5.33,7,3,9,0,1,76,38,405,67.86,15,84
778,0,0,0,11,34.86,0,32.36,0,6.46,2,3,10,2,0,75.3,3,488,27.27,14,68
779,2,5,16,3562,31.93,30.89,36.51,5,5.25,118,29,130,15,0,681.3,3182,3576,89.33,112,73
780,1,0,18,3638,0,28.05,0,3,0,101,0,103,9,3,9,2581,0,70.95,0,36
781,0,1,11,2981,46.77,25.55,51.94,6,5.4,89,8,104,9,0,303,2044,1637,68.57,35,54
782,0,0,6,2135,0,19.36,0,10,0,73,0,74,3,51,17,1355,0,63.47,0,20
783,0,3,0,91,30.35,3.43,32.33,3,5.63,13,10,38,6,0,247.5,24,1396,26.37,46,75
784,0,0,0,80,28,4.6,35.25,1,4.77,5,6,7,0,0,47,23,224,28.75,8,81
